Li,1,43
Be,1,43
B,3,53
N,2,0
O,1,15
O,3,16
F,1,32
Na,1,43
Mg,2,43
Al,3,43
Si,"2,4",52
P,"3,4,5",47
P,4,47
S,6,24
S,"3,4",23
Cl,1,31
K,1,43
Ca,2,43
Sc,3,43
Ti,4,43
V,"2,3,4,5",43
Cr,"2,3,4,6",43
Mn,"2,4,7",43
Fe,"2,3",43
Co,2,43
Ni,2,43
Cu,"1,2",43
Zn,2,43
Ga,3,43
Ge,4,43
As,"3,5",51
As,4,51
Se,"2,4,6",54
Br,1,31
Br,1,48
Rb,1,43
Sr,2,43
Y,3,43
Zr,4,43
Nb,"2,5",43
Mo,"2,4,6",43
Ag,"1,2",43
Cd,2,43
Sn,"2,4",43
Sb,"3,5",51
Te,"2,4,6",54
I,1,31
I,1,49
Ba,2,43
Pt,2,43
Au,"1,2",43
Hg,"1,2",43
Ti,3,43
Pb,"2,4",43
Bi,"2,3,5",43
